"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Season","MVP","First","Share","Team.Wins"
" 83","Derrick Coleman","PF",32,"CHH",74,64,31.7,6,13.2,0.456,0.7,1.9,0.362,5.3,11.3,0.471,0.482,4,5.1,0.785,1.7,6.9,8.5,2.4,0.5,1.8,2.3,2.6,16.7,"2000",FALSE,0,0,49
" 84","Bimbo Coles","PG",31,"ATL",80,54,24.1,3.5,7.6,0.455,0.1,0.5,0.205,3.4,7.1,0.472,0.461,1.1,1.3,0.817,0.4,1.8,2.2,3.6,0.7,0.1,1.3,2.2,8.1,"2000",FALSE,0,0,28
" 86","Tyrone Corbin","SF",37,"SAC",54,5,17.4,1.6,4.6,0.356,0.2,0.8,0.227,1.4,3.8,0.384,0.377,0.6,0.7,0.846,0.7,2.3,3.1,1.1,0.7,0.1,0.5,1.8,4.1,"2000",FALSE,0,0,44
" 87","Chris Crawford","PF",24,"ATL",55,11,12.1,1.7,4.2,0.397,0.1,0.5,0.259,1.5,3.7,0.416,0.413,1.1,1.5,0.778,0.9,0.9,1.8,0.6,0.3,0.3,0.7,1.5,4.6,"2000",FALSE,0,0,28
" 88","Austin Croshere","PF",24,"IND",81,14,23.3,3.6,8.1,0.441,0.8,2.1,0.362,2.8,5.9,0.47,0.489,2.4,2.9,0.848,1.7,4.7,6.4,1.1,0.5,0.7,1.5,2.5,10.3,"2000",FALSE,0,0,56
" 89","John Crotty","PG",30,"DET",69,0,13.6,1.5,3.6,0.422,0.5,1.2,0.413,1.1,2.5,0.427,0.488,1.2,1.3,0.86,0.2,0.8,1.1,1.9,0.4,0.1,0.8,1.5,4.7,"2000",FALSE,0,0,42
" 91","Vonteego Cummings","PG",23,"GSW",75,11,23.9,3.5,8.7,0.405,0.7,2,0.325,2.9,6.7,0.429,0.442,1.7,2.3,0.751,0.8,1.7,2.5,3.3,1.2,0.2,1.8,2.3,9.4,"2000",FALSE,0,0,19
" 93","Dell Curry","SG",35,"TOR",67,9,16.3,2.9,6.8,0.427,1.4,3.6,0.393,1.5,3.2,0.467,0.532,0.4,0.5,0.75,0.2,1.3,1.5,1.3,0.5,0.1,0.6,1,7.6,"2000",FALSE,0,0,45
" 94","Michael Curry","SG",31,"DET",82,3,19.6,2.2,4.6,0.48,0,0.1,0.2,2.2,4.6,0.484,0.482,1.7,2,0.839,0.3,1,1.3,1.1,0.4,0.1,0.9,2.5,6.2,"2000",FALSE,0,0,42
" 96","Antonio Daniels","SG",24,"SAS",68,1,17.6,2.4,5.1,0.474,0.3,1,0.333,2.1,4.1,0.507,0.506,1.1,1.5,0.713,0.2,1,1.3,2.6,0.8,0.1,0.9,1.1,6.2,"2000",FALSE,0,0,53
